Image,Total,High_Realism,Medium_Realism,Low_Realism,Avg_Realism,High_Percent
data/img/img__00055_.png,8,0,8,0,0.497,0.0%
data/img/img__00056_.png,8,0,8,0,0.496,0.0%
data/img/img__00057_.png,8,0,8,0,0.496,0.0%
data/img/img__00058_.png,8,0,8,0,0.497,0.0%
data/img/img__00059_.png,8,0,8,0,0.496,0.0%
data/img/img__00060_.png,8,0,8,0,0.498,0.0%
data/img/img__00061_.png,8,0,8,0,0.498,0.0%
data/img/img__00062_.png,8,0,8,0,0.499,0.0%
data/img/img__00063_.png,8,0,8,0,0.498,0.0%
data/img/img__00064_.png,8,0,8,0,0.495,0.0%
data/img/img__00065_.png,8,0,8,0,0.499,0.0%
data/img/img__00066_.png,8,0,8,0,0.499,0.0%
data/img/img__00067_.png,8,0,8,0,0.498,0.0%
data/img/img__00068_.png,8,0,8,0,0.498,0.0%
data/img/img__00069_.png,8,0,8,0,0.499,0.0%
data/img/img__00070_.png,8,0,8,0,0.498,0.0%
data/img/img__00071_.png,8,0,8,0,0.497,0.0%
data/img/img__00072_.png,8,0,8,0,0.497,0.0%
data/img/img__00073_.png,8,0,8,0,0.499,0.0%
data/img/img__00074_.png,8,0,8,0,0.497,0.0%
data/img/img__00075_.png,8,0,8,0,0.498,0.0%
data/img/img__00076_.png,8,0,8,0,0.499,0.0%
data/img/img__00077_.png,8,0,8,0,0.495,0.0%
data/img/img__00078_.png,8,0,8,0,0.498,0.0%
data/img/img__00079_.png,8,0,8,0,0.495,0.0%
data/img/img__00080_.png,8,0,8,0,0.498,0.0%
data/img/img__00081_.png,8,0,8,0,0.496,0.0%
data/img/img__00082_.png,8,0,8,0,0.499,0.0%
data/img/img__00083_.png,8,0,8,0,0.497,0.0%
data/img/img__00084_.png,8,0,8,0,0.497,0.0%
data/img/img__00085_.png,8,0,8,0,0.500,0.0%
data/img/img__00086_.png,8,0,8,0,0.499,0.0%
data/img/img__00087_.png,8,0,8,0,0.497,0.0%
